t(s) 	 theta(deg.) 	 omega (rds/s) 
3.35	180.560229043	-0.129606040716
3.36	180.477751841	-0.143949872079
3.37	180.386585547	-0.15911520094
3.38	180.286209909	-0.175188536624
3.39	180.176052152	-0.192261556072
3.4	180.055483713	-0.210431623162
3.41	179.923816671	-0.229802339465
3.42	179.780299837	-0.250484129342
3.43	179.624114485	-0.272594862372
3.44	179.454369713	-0.296260516278
3.45	179.270097386	-0.321615883605
3.46	179.070246655	-0.348805325562
3.47	178.853678019	-0.377983576507
3.48	178.619156881	-0.409316602674
3.49	178.365346593	-0.442982518777
3.5	178.090800936	-0.47917256614
3.51	177.793955997	-0.518092155945
3.52	177.473121415	-0.559961981085
3.53	177.126470948	-0.60501919984
3.54	176.752032318	-0.653518694236
3.55	176.347676289	-0.705734405398
3.56	175.911104939	-0.761960747399
3.57	175.439839074	-0.822514100028
3.58	174.931204742	-0.887734379441
3.59	174.382318803	-0.957986683708
3.6	173.790073526	-1.0336630077
3.61	173.151120149	-1.11518401843
3.62	172.461851419	-1.2030008778
3.63	171.718383049	-1.29759709401
3.64	170.916534129	-1.39949037612
3.65	170.051806482	-1.50923445749
3.66	169.119363024	-1.62742084253
3.67	168.114005201	-1.75468041757
3.68	167.03014962	-1.89168484938
3.69	165.861804065	-2.0391476735
3.7	164.602543129	-2.19782494823
3.71	163.245483815	-2.36851531813
3.72	161.78326155	-2.55205929179
3.73	160.208007202	-2.74933749149
3.74	158.511325861	-2.96126757653
3.75	156.684278344	-3.18879947572
3.76	154.717366666	-3.43290848792
3.77	152.600524977	-3.69458572182
3.78	150.323117866	-3.97482524936
3.79	147.873948326	-4.27460724209
3.8	145.241278159	-4.59487625356
3.81	142.412864148	-4.93651370973
3.82	139.376013891	-5.3003035877
3.83	136.117665809	-5.68689022043
3.84	132.624498442	-6.09672718821
3.85	128.883074651	-6.53001638507
3.86	124.880026734	-6.98663662765
3.87	120.602288504	-7.46606166481
3.88	116.037380074	-7.96726821496
3.89	111.173750038	-8.48863577299
3.9	106.00117791	-9.02784144405
3.91	100.511236691	-9.58175499987
3.92	94.6978111388	-10.1463416713
3.93	88.5576615189	-10.7165827433
3.94	82.0910154651	-11.28642652
3.95	75.3021621873	-11.8487842132
3.96	68.2000144729	-12.3955861579
3.97	60.7985956912	-12.9179127061
3.98	53.1174028868	-13.4062104916
3.99	45.1815948125	-13.8505979703
4.0	37.021957167	-14.2412542684
4.01	28.6746076981	-14.5688732048
4.02	20.1804215276	-14.8251515952
4.03	11.5841809778	-15.0032700888
4.04	2.933481652	-15.0983185835
4.05	-5.72254644006	-15.1076190352
4.06	-14.3346219004	-15.0309072213
4.07	-22.854705359	-14.8703508896
4.08	-31.2373082329	-14.6304020037
4.09	-39.4406323429	-14.3175015328
4.1	-47.4274762717	-13.9396723401
4.11	-55.1658706923	-13.5060461457
4.12	-62.6294326449	-13.0263729999
4.13	-69.7974537085	-12.5105568412
4.14	-76.6547561974	-11.9682506237
4.15	-83.1913634955	-11.4085319262
4.16	-89.4020354756	-10.8396674815
4.17	-95.2857187926	-10.2689646026
4.18	-100.844956394	-9.70270000367
4.19	-106.085292679	-9.14611220876
4.2	-111.014701944	-8.6034421859
4.21	-115.643059223	-8.07800734823
4.22	-119.981665166	-7.57229586434
4.23	-124.0428305	-7.088070655
4.24	-127.83952102	-6.62647502484
4.25	-131.385060783	-6.18813426274
4.26	-134.692889128	-5.77324957118
4.27	-137.776365948	-5.38168229151
4.28	-140.648619182	-5.01302758934
4.29	-143.322428492	-4.66667760177
4.3	-145.810139385	-4.34187459342
4.31	-148.12360258	-4.03775498748
4.32	-150.274133943	-3.75338529393
4.33	-152.272490983	-3.48779099883
4.34	-154.128862464	-3.23997944791
4.35	-155.852868223	-3.008957682
4.36	-157.45356682	-2.79374608403
4.37	-158.939469029	-2.59338859123
4.38	-160.318555592	-2.40696012014
4.39	-161.598297939	-2.23357175356
4.4	-162.785680862	-2.07237414839
4.41	-163.88722634	-1.92255954446
4.42	-164.909017892	-1.78336268617
4.43	-165.856724984	-1.65406091034
4.44	-166.735627119	-1.53397360502
4.45	-167.550637354	-1.42246120334
4.46	-168.306325051	-1.31892384273
4.47	-169.006937724	-1.22279979271
4.48	-169.6564219	-1.13356373183
4.49	-170.258442943	-1.05072493657
4.5	-170.816403814	-0.973825430196
4.51	-171.333462775	-0.902438128225
4.52	-171.812550034	-0.836165007747
4.53	-172.256383379	-0.774635320575
4.54	-172.667482811	-0.717503864443
4.55	-173.04818423	-0.66444932195
4.56	-173.400652208	-0.615172673433
4.57	-173.726891906	-0.569395687267
4.58	-174.028760157	-0.526859488994
4.59	-174.307975788	-0.487323209154
4.6	-174.566129204	-0.450562708494
4.61	-174.804691285	-0.416369378425
4.62	-175.025021641	-0.38454901395
4.63	-175.228376254	-0.354920755919
4.64	-175.415914565	-0.327316099158
4.65	-175.58870601	-0.301577962916
4.66	-175.747736072	-0.277559819976
4.67	-175.893911861	-0.255124880774
4.68	-176.028067253	-0.234145328949
4.69	-176.150967619	-0.214501604787
4.7	-176.263314177	-0.196081733146
4.71	-176.365747968	-0.178780692568
4.72	-176.458853508	-0.162499822397
4.73	-176.543162108	-0.147146264869
4.74	-176.619154897	-0.132632439251
4.75	-176.687265568	-0.11887554526
4.76	-176.747882837	-0.105797093084
4.77	-176.801352666	-0.0933224574693
4.78	-176.847980232	-0.0813804534454
4.79	-176.888031661	-0.0699029313402
4.8	-176.921735553	-0.0588243888562
4.81	-176.94928428	-0.0480815980455
4.82	-176.970835082	-0.0376132451002
4.83	-176.986510967	-0.0273595809422
4.84	-176.99640141	-0.0172620806456
4.85	-177.000562866	-0.00726310977582
4.86	-176.999019086	0.00269440423836
4.87	-176.991761259	0.0126672975564
4.88	-176.978747958	0.0227124940399
4.89	-176.959904906	0.0328873298635
4.9	-176.93512455	0.0432498804559
4.91	-176.904265449	0.0538592916213
4.92	-176.867151468	0.0647761167085
4.93	-176.823570773	0.0760626617293
4.94	-176.773274624	0.0877833403681
4.95	-176.715975956	0.100005040874
4.96	-176.651347746	0.11279750689
4.97	-176.579021144	0.126233734336
4.98	-176.498583377	0.140390386557
4.99	-176.409575398	0.155348230014
5.0	-176.311489267	0.171192592916
5.01	-176.203765267	0.188013849274
5.02	-176.085788713	0.205907931002
5.03	-175.956886461	0.224976870767
5.04	-175.816323081	0.245329378463
5.05	-175.66329668	0.267081454285
5.06	-175.49693435	0.290357041508
5.07	-175.316287218	0.315288722225
5.08	-175.120325076	0.3420184594
5.09	-174.907930545	0.370698388719
5.1	-174.677892766	0.401491663796
5.11	-174.428900573	0.434573358367
5.12	-174.159535106	0.470131429132
5.13	-173.868261845	0.508367742847
5.14	-173.553422011	0.549499171186
5.15	-173.213223303	0.593758756679
5.16	-172.845729919	0.64139695268
5.17	-172.448851829	0.692682939826
5.18	-172.020333245	0.747906020716
5.19	-171.557740245	0.80737709353
5.2	-171.058447517	0.871430203935
5.21	-170.519624157	0.940424172825
5.22	-169.938218503	1.01474429502
5.23	-169.310941959	1.09480410097
5.24	-168.634251777	1.1810471694
5.25	-167.904332782	1.27394897385
5.26	-167.117078034	1.37401873928
5.27	-166.268068442	1.48180127674
5.28	-165.352551354	1.59787875367
5.29	-164.365418215	1.72287234412
5.3	-163.301181375	1.857443687
5.31	-162.15395024	2.00229606013
5.32	-160.917406962	2.15817515287
5.33	-159.584782023	2.32586928957
5.34	-158.148830086	2.50620891862
5.35	-156.601806719	2.70006513729
5.36	-154.935446652	2.90834696826
5.37	-153.140944533	3.13199704071
5.38	-151.208939297	3.37198525426
5.39	-149.129503617	3.62929991931
5.4	-146.892140227	3.90493577256
5.41	-144.485787295	4.1998781629
5.42	-141.898835526	4.51508259652
5.43	-139.11916016	4.85144872652
5.44	-136.134171638	5.20978778466
5.45	-132.930889282	5.59078239817
5.46	-129.496042973	5.99493773905
5.47	-125.816208327	6.42252305089
5.48	-121.877981297	6.87350283596
5.49	-117.668198295	7.34745741848
5.5	-113.17420767	7.84349329493
5.51	-108.384197592	8.36014470703
5.52	-103.287583714	8.89526928738
5.53	-97.8754573466	9.4459424642
5.54	-92.1410908741	10.0083575461
5.55	-86.0804917568	10.5777409241
5.56	-79.6929895918	11.1482943757
5.57	-72.9818325944	11.7131786222
5.58	-65.954761075	12.2645534787
5.59	-58.6245169934	12.7936894199
5.6	-51.0092418794	13.2911624185
5.61	-43.1327120549	13.7471379069
5.62	-35.0243619912	14.1517405514
5.63	-26.7190552529	14.4954947972
5.64	-18.2565784418	14.7698083228
5.65	-9.68085615142	14.9674589703
5.66	-1.0389118772	15.0830381359
5.67	7.62037261558	15.1133025266
5.68	16.247623306	15.0573929943
5.69	24.7943737067	14.9168934838
5.7	33.2144025672	14.6957226728
5.71	41.4649214186	14.3998718956
5.72	49.5075421768	14.037021272
5.73	57.3089803217	13.6160782018
5.74	64.8414769974	13.1466867888
5.75	72.0829493521	12.6387535282
5.76	79.0168992189	12.1020255344
5.77	85.6321240199	11.5457453537
5.78	91.922280274	10.9783937099
5.79	97.8853502431	10.4075204487
5.8	103.523057678	9.83965569966
5.81	108.840271155	9.28028822084
5.82	113.844424791	8.73389572255
5.83	118.544977441	8.20401204155
5.84	122.952923725	7.69331758975
5.85	127.080363763	7.20374183357
5.86	130.940133561	6.73656913525
5.87	134.545494401	6.29254173853
5.88	137.909877252	5.87195580407
5.89	141.046676858	5.47474810992
5.9	143.969089531	5.10057232557
5.91	146.689988572	4.74886468731
5.92	149.221831494	4.41889951247
5.93	151.576593699	4.10983535856
5.94	153.765723813	3.82075282345
5.95	155.800116489	3.55068504885
5.96	157.690099121	3.29864197235
5.97	159.445429414	3.06362930708
5.98	161.07530133	2.84466313353
5.99	162.588357323	2.64078088321
6.0	163.992705175	2.45104938713
6.01	165.295938109	2.27457056136
6.02	166.505157061	2.11048520955
6.03	167.626994296	1.9579753408
6.04	168.667637675	1.81626533021
6.05	169.632855089	1.68462218887
6.06	170.528018657	1.56235515911
6.07	171.358128395	1.44881480818
6.08	172.127835175	1.34339175841
6.09	172.841462796	1.24551516304
6.1	173.503029095	1.15465101349
6.11	174.116266021	1.07030034467
6.12	174.684638658	0.991997389865
6.13	175.211363185	0.919307724152
6.14	175.699423775	0.851826425868
6.15	176.151588475	0.789176277584
6.16	176.570424074	0.731006022152
6.17	176.958310018	0.676988684482
6.18	177.317451404	0.626819966042
6.19	177.649891094	0.580216716127
6.2	177.957521005	0.536915481788
6.21	178.242092604	0.49667113661
6.22	178.505226673	0.459255587282
6.23	178.748422365	0.424456555993
6.24	178.973065616	0.392076436024
6.25	179.180436928	0.361931217448
6.26	179.37171859	0.333849479578
6.27	179.548001343	0.307671446597
6.28	179.710290552	0.283248102738
6.29	179.859511888	0.260440363369
6.3	179.996516581	0.239118298367
6.31	180.122086243	0.219160404232
6.32	180.236937307	0.200452921514
6.33	180.341725096	0.182889194201
6.34	180.437047551	0.16636906789
6.35	180.523448626	0.150798323642
6.36	180.601421389	0.136088144595
6.37	180.671410826	0.12215461251
6.38	180.733816376	0.108918231566
6.39	180.788994204	0.0963034768246
6.4	180.837259232	0.0842383649124
6.41	180.878886933	0.0726540445559
6.42	180.914114902	0.0614844047121
6.43	180.943144209	0.0506656981151
6.44	180.966140545	0.0401361781398
6.45	180.983235169	0.0298357469482
6.46	180.994525653	0.0197056129432
6.47	181.000076443	0.00968795560024
6.48	180.999919221	-0.000274404212692
6.49	180.99405309	-0.0102383302888
6.5	180.982444566	-0.0202606953529
6.51	180.965027391	-0.0303987053831
6.52	180.94170215	-0.0407102258159
6.53	180.912335707	-0.05125411148
6.54	180.876760447	-0.0620905421222
6.55	180.834773318	-0.073281365416
6.56	180.786134673	-0.0848904493854
6.57	180.730566908	-0.096984046222
6.58	180.667752874	-0.109631169533
6.59	180.597334077	-0.122903987124
6.6	180.518908627	-0.136878231496
6.61	180.432028957	-0.151633630331
6.62	180.336199268	-0.167254359316
6.63	180.230872711	-0.18382951979
6.64	180.115448276	-0.201453643768
6.65	179.989267368	-0.22022722907
6.66	179.851610071	-0.240257307346
6.67	179.701691053	-0.261658047968
6.68	179.53865511	-0.28455140087
6.69	179.361572315	-0.309067781529
6.7	179.169432751	-0.335346801452
6.71	178.961140793	-0.363538047586
6.72	178.735508916	-0.393801914229
6.73	178.491250997	-0.426310491029
6.74	178.226975068	-0.461248510749
6.75	177.941175492	-0.498814360408
6.76	177.632224525	-0.539221159359
6.77	177.298363217	-0.582697907654
6.78	176.937691609	-0.629490707771
6.79	176.548158194	-0.679864062282
6.8	176.127548588	-0.73410224941
6.81	175.673473361	-0.792510777457
6.82	175.183354996	-0.855417917821
6.83	174.654413931	-0.923176314657
6.84	174.08365362	-0.996164666915
6.85	173.467844611	-1.07478947566
6.86	172.803507585	-1.15948684571
6.87	172.086895333	-1.25072432583
6.88	171.313973683	-1.34900276548
6.89	170.48040136	-1.45485815829
6.9	169.581508827	-1.56886343261
6.91	168.612276153	-1.69163013679
6.92	167.567310025	-1.82380995182
6.93	166.440820028	-1.96609594415
6.94	165.226594433	-2.11922344828
6.95	163.917975766	-2.28397043916
6.96	162.507836552	-2.46115721915
6.97	160.988555765	-2.65164520113
6.98	159.351996637	-2.85633451786
6.99	157.589486713	-3.07616012677
7.0	155.691801217	-3.31208600737
7.01	153.64915112	-3.56509696677
7.02	151.451177602	-3.83618747553
7.03	149.086955006	-4.12634685523
7.04	146.545004811	-4.43654003209
7.05	143.813323691	-4.76768296648
7.06	140.879429259	-5.12061177484
7.07	137.730427722	-5.49604449606
7.08	134.353108265	-5.89453444142
7.09	130.734069547	-6.3164141386
7.1	126.859884163	-6.76172907897
7.11	122.71730714	-7.23016085728
7.12	118.293534428	-7.72093991794
7.13	113.576516678	-8.23274906055
7.14	108.555332187	-8.76362017241
7.15	103.220620482	-9.31082838942
7.16	97.5650743901	-9.87079003061
7.17	91.5839833697	-10.4389731167
7.18	85.2758143854	-11.0098318549
7.19	78.6428087416	-11.5767787787
7.2	71.6915646103	-12.1322097201
7.21	64.4335662995	-12.6675967627
7.22	56.8856139579	-13.1736620144
7.23	49.0701030499	-13.6406398071
7.24	41.0151033998	-14.058626514
7.25	32.7541944922	-14.4180059645
7.26	24.3260278964	-14.7099257004
7.27	15.77360882	-14.9267871893
7.28	7.14331496901	-15.0627043114
7.29	-1.51630130057	-15.1138815863
7.3	-10.1558565263	-15.0788684597
7.31	-18.7265365786	-14.9586586047
7.32	-27.1814580526	-14.756621772
7.33	-35.4768995845	-14.4782767637
7.34	-43.5733280579	-14.1309334513
7.35	-51.43616866	-13.7232457066
7.36	-59.0362953803	-13.2647234839
7.37	-66.3502453311	-12.7652507967
7.38	-73.3601825409	-12.2346484668
7.39	-80.0536524355	-11.6823088044
7.4	-86.4231764433	-11.1169165722
7.41	-92.4657377238	-10.5462589599
7.42	-98.1822054293	-9.97711830447
7.43	-103.57673798	-9.41523546143
7.44	-108.656197289	-8.86532891667
7.45	-113.429597104	-8.33115432849
7.46	-117.907600575	-7.81559044887
7.47	-122.10207538	-7.32073957386
7.48	-126.0257094	-6.84803322864
7.49	-129.691686058	-6.39833629844
7.5	-133.113415811	-5.97204503103
7.51	-136.304318699	-5.56917614969
